"NE Dept. of Revenue, Property Assessment Division",,,,,,,,,,,,,,,,,,,,,,,,,,
Excel format; data export 2018 TIF Report  certified as of 2-20-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
"sorted by county, TIF project name, tax year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SCHOOL CODES & Class,,,,,,Residential,Residential,Commerical,Commerical,Industrial,Industrial,Other,Other,Other,Total TIF,Total TIF,Total,Total TIF,Total TIF
TIF ID#,CNTYNAME,CNTY#,TIFNAME,PROJDATE,CITYNAME,SCHOOL DISTRICT,Base School,Unified/LC,CLASS,LOCATION,DESCRIPTION,Tax Year,base value,excess value,base value,excess value,base value,excess value,base value,excess value,Description,Base Value,Excess Value,Tax Rate,Excess Taxes,Base Taxes
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 7, Block 22, Original Town of Hastings",TIF funds used for facade improvements on older downtown building to be used for retail and residential,2004,0,0,42770,99645,0,0,0,0,,42770,99645,2.372993,2364.57,1014.93
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 7, Block 22, Original Town of Hastings",TIF funds used for facade improvements on older downtown building to be used for retail and residential,2005,0,0,42770,118160,0,0,0,0,,42770,118160,2.370005,2800.4,1013.65
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 7, Block 22, Original Town of Hastings",TIF funds used for facade improvements on older downtown building to be used for retail and residential,2006,0,0,42770,118160,0,0,0,0,,42770,118160,2.353769,2781.21,1006.71
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 7, Block 22, Original Town of Hastings",TIF funds used for facade improvements on older downtown building to be used for retail and residential,2007,0,0,42770,118160,0,0,0,0,,42770,118160,2.305825,2724.56,986.2
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 7, Block 22, Original Town of Hastings",TIF funds used for facade improvements on older downtown building to be used for retail and residential,2008,0,0,42770,118160,0,0,0,0,,42770,118160,2.269981,2682.21,970.87
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 7, Block 22, Original Town of Hastings",TIF funds used for facade improvements on older downtown building to be used for retail and residential,2009,0,0,42770,118160,0,0,0,0,,42770,118160,2.289484,2705.25,979.21
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 7, Block 22, Original Town of Hastings",TIF funds used for facade improvements on older downtown building to be used for retail and residential,2010,0,0,42770,121380,0,0,0,0,,42770,121380,2.322425,2818.96,993.3
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 7, Block 22, Original Town of Hastings",TIF funds used for facade improvements on older downtown building to be used for retail and residential,2011,0,0,42770,121380,0,0,0,0,,42770,121380,2.357864,2861.98,1008.46
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 7, Block 22, Original Town of Hastings",TIF funds used for facade improvements on older downtown building to be used for retail and residential,2012,0,0,42770,121380,0,0,0,0,,42770,121380,2.341526,2842.14,1001.47
