"NE Dept. of Revenue, Property Assessment Division",,,,,,,,,,,,,,,,,,,,,,,,,,
Excel format; data export 2021 TIF Report  certified as of 2-25-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
"sorted by county, TIF project name, tax year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SCHOOL CODES & Class,,,,,,Residential,Residential,Commerical,Commerical,Industrial,Industrial,Other,Other,Other,Total TIF,Total TIF,Total,Total TIF,Total TIF
TIF ID#,CNTYNAME,CNTY#,TIFNAME,PROJDATE,CITYNAME,SCHOOL DISTRICT,Base School,Unified/LC,CLASS,LOCATION,DESCRIPTION,Tax Year,base value,excess value,base value,excess value,base value,excess value,base value,excess value,Description,Base Value,Excess Value,Tax Rate,Excess Taxes,Base Taxes
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,6/23/2004,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2006,0,0,83825,1566435,0,0,0,0,,83825,1566435,2.353769,36870.26,1973.05
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,6/23/2004,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2007,0,0,83825,1643495,0,0,0,0,,83825,1643495,2.305825,37896.12,1932.86
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,6/23/2004,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2008,0,0,83825,866175,0,0,0,0,,83825,866175,2.269981,19662.01,1902.81
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,6/23/2004,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2009,0,0,83825,866175,0,0,0,0,,83825,866175,2.289484,19830.94,1919.16
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,6/23/2004,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2010,0,0,83825,885175,0,0,0,0,,83825,885175,2.322425,20557.53,1946.77
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,6/23/2004,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2011,0,0,83825,885175,0,0,0,0,,83825,885175,2.357864,20871.22,1976.48
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,6/23/2004,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2012,0,0,83825,885175,0,0,0,0,,83825,885175,2.341526,20726.6,1962.78
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,6/23/2004,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2013,0,0,83825,885175,0,0,0,0,,83825,885175,2.307173,20422.52,1933.99
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,6/23/2004,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2014,0,0,83825,885175,0,0,0,0,,83825,885175,2.295244,20316.94,1923.99
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,6/23/2004,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2015,0,0,83825,885175,0,0,0,0,,83825,885175,2.23584,19791.1,1874.19
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,6/23/2004,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2016,0,0,83825,243990,0,0,0,0,,83825,243990,2.234294,5451.46,1872.9
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,6/23/2004,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2017,0,0,83825,285235,0,0,0,0,,83825,285235,2.230715,6362.78,1869.9
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,6/23/2004,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2018,0,0,83825,269325,0,0,0,0,,83825,269325,2.231019,6008.76,1870.15
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,6/23/2004,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2019,0,0,83825,242535,0,0,0,0,,83825,242535,2.237489,5426.76,1875.58
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,6/23/2004,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2020,0,0,83825,255922,0,0,0,0,,83825,255922,2.258474,5779.94,1893.17
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,7/10/2006,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2007,0,0,14395,142940,0,0,0,0,,14395,142940,2.305825,3295.95,331.92
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,7/10/2006,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2008,0,0,14395,191840,0,0,0,0,,14395,191840,2.269981,4354.73,326.76
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,7/10/2006,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2009,50575,209645,0,0,0,0,0,0,,50575,209645,2.289484,4799.79,1157.91
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,7/10/2006,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2010,50575,233380,0,0,0,0,0,0,,50575,233380,2.322425,5420.08,1174.57
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,7/10/2006,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2011,50575,233380,0,0,0,0,0,0,,50575,233380,2.357864,5502.78,1192.49
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,7/10/2006,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2012,50575,240545,0,0,0,0,0,0,,50575,240545,2.341526,5632.42,1184.23
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,7/10/2006,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2013,43740,240545,0,0,0,0,0,0,,43740,240545,2.307173,5549.8,1009.16
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,7/10/2006,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2014,50575,252165,0,0,0,0,0,0,,50575,252165,2.295244,5787.8,1160.82
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,7/10/2006,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2015,43740,254380,0,0,0,0,0,0,,43740,254380,2.23584,5687.54,977.96
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,7/10/2006,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2016,43740,327540,0,0,0,0,0,0,,43740,327540,2.234294,7318.22,977.28
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,7/10/2006,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2017,43740,338685,0,0,0,0,0,0,,43740,338685,2.230715,7555.1,975.71
01-0049,ADAMS,1,TIF CICADA PROPERTIES LLC,7/10/2006,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Block 1, Buswell's Addition","TIF funds used for demolition of structures, land acquisition and concrete for sidewalks and driveways for the redevelopment of vacant land into seven single family dwelling units for sale, each unit with a market value of $118,000 to $140,000 with detached garages",2018,43740,369195,0,0,0,0,0,0,,43740,369195,2.231019,8236.92,975.85
