"NE Dept. of Revenue, Property Assessment Division",,,,,,,,,,,,,,,,,,,,,,,,,
Excel format; data export from 2015 Tax Increment Financing Report ,,,,,,,,,,,,,,,,,,,,,,,,,
"sorted by county, TIF project name, tax year",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SCHOOL CODES & Class,,,,,Residential,Residential,Commerical,Commerical,Industrial,Industrial,Other,Other,Other,Total TIF,Total TIF,Total,Total TIF,Total TIF
TIF ID#,CNTYNAME,CNTY#,TIFNAME,PROJDATE,CITYNAME,SCHOOL DISTRICT,Base School,Unified/LC,CLASS, TIF Project name & legal descriptions,Tax Year,base value,excess value,base value,excess value,base value,excess value,base value,excess value,Description,Base Value,Excess Value,Tax Rate,Excess Taxes,Base Taxes
01-0042,ADAMS,1,TIF 409 WEST F PROJECT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: 409 West F Street
Lot 6, in the Wallace Addition
Description: TIF funds used to demolish a dilapidated house and clear land to construct a single-family home to be made available for sale to low to moderate income family",2004,5145,75140,0,0,0,0,0,0,,5145,75140,2.372993,1783.07,122.09
01-0042,ADAMS,1,TIF 409 WEST F PROJECT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: 409 West F Street
Lot 6, in the Wallace Addition
Description: TIF funds used to demolish a dilapidated house and clear land to construct a single-family home to be made available for sale to low to moderate income family",2005,5145,75140,0,0,0,0,0,0,,5145,75140,2.370005,1780.83,121.94
01-0042,ADAMS,1,TIF 409 WEST F PROJECT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: 409 West F Street
Lot 6, in the Wallace Addition
Description: TIF funds used to demolish a dilapidated house and clear land to construct a single-family home to be made available for sale to low to moderate income family",2006,5145,75140,0,0,0,0,0,0,,5145,75140,2.353769,1768.62,121.1
01-0042,ADAMS,1,TIF 409 WEST F PROJECT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: 409 West F Street
Lot 6, in the Wallace Addition
Description: TIF funds used to demolish a dilapidated house and clear land to construct a single-family home to be made available for sale to low to moderate income family",2007,5145,75140,0,0,0,0,0,0,,5145,75140,2.305825,1732.6,118.63
01-0042,ADAMS,1,TIF 409 WEST F PROJECT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: 409 West F Street
Lot 6, in the Wallace Addition
Description: TIF funds used to demolish a dilapidated house and clear land to construct a single-family home to be made available for sale to low to moderate income family",2008,5145,77170,0,0,0,0,0,0,,5145,77170,2.269981,1751.74,116.79
01-0042,ADAMS,1,TIF 409 WEST F PROJECT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: 409 West F Street
Lot 6, in the Wallace Addition
Description: TIF funds used to demolish a dilapidated house and clear land to construct a single-family home to be made available for sale to low to moderate income family",2009,5145,77170,0,0,0,0,0,0,,5145,77170,2.289484,1766.79,117.79
01-0042,ADAMS,1,TIF 409 WEST F PROJECT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: 409 West F Street
Lot 6, in the Wallace Addition
Description: TIF funds used to demolish a dilapidated house and clear land to construct a single-family home to be made available for sale to low to moderate income family",2010,5145,79765,0,0,0,0,0,0,,5145,79765,2.322425,1852.48,119.49
01-0042,ADAMS,1,TIF 409 WEST F PROJECT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: 409 West F Street
Lot 6, in the Wallace Addition
Description: TIF funds used to demolish a dilapidated house and clear land to construct a single-family home to be made available for sale to low to moderate income family",2011,5145,79765,0,0,0,0,0,0,,5145,79765,2.357864,1880.75,121.31
01-0042,ADAMS,1,TIF 409 WEST F PROJECT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: 409 West F Street
Lot 6, in the Wallace Addition
Description: TIF funds used to demolish a dilapidated house and clear land to construct a single-family home to be made available for sale to low to moderate income family",2012,5145,79765,0,0,0,0,0,0,,5145,79765,2.341526,1867.72,120.47
01-0042,ADAMS,1,TIF 409 WEST F PROJECT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: 409 West F Street
Lot 6, in the Wallace Addition
Description: TIF funds used to demolish a dilapidated house and clear land to construct a single-family home to be made available for sale to low to moderate income family",2013,5145,79765,0,0,0,0,0,0,,5145,79765,2.307173,1840.32,118.7
01-0042,ADAMS,1,TIF 409 WEST F PROJECT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: 409 West F Street
Lot 6, in the Wallace Addition
Description: TIF funds used to demolish a dilapidated house and clear land to construct a single-family home to be made available for sale to low to moderate income family",2014,5145,82875,0,0,0,0,0,0,,5145,82875,2.295244,1902.18,118.09
01-0042,ADAMS,1,TIF 409 WEST F PROJECT,7/28/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: 409 West F Street
Lot 6, in the Wallace Addition
Description: TIF funds used to demolish a dilapidated house and clear land to construct a single-family home to be made available for sale to low to moderate income family",2015,5145,82875,0,0,0,0,0,0,,5145,82875,2.23584,1852.96,115.03
01-0059,ADAMS,1,TIF B&R STORES INC.,1/1/15,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: B&R Stores Inc.
611 N. Burlington; Lot 1, Russ's Market Subdiv (Replat Blk 1, Benedicts Subdivision and Lots 1-5, Blk 2, Benedicts Subdivision)
Description: TIF funds used to relocate water, sewer, electric and gas lines, pave new turning lane on 7th St, reconstruct alley and site prep, associated with B&R Store construction of 47,000 sq ft new store and demolish old store.",2015,0,0,773645,6716345,0,0,0,0,,773645,6716345,2.23584,150166.74,17297.46
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2004,0,0,42770,99645,0,0,0,0,,42770,99645,2.372993,2364.57,1014.93
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2005,0,0,42770,118160,0,0,0,0,,42770,118160,2.370005,2800.4,1013.65
