"NE Dept. of Revenue, Property Assessment Division",,,,,,,,,,,,,,,,,,,,,,,,,
Excel format; data export from 2010 Tax Increment Financing Report ,,,,,,,,,,,,,,,,,,,,,,,,,
"sorted by county, TIF project name, tax year",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Residential,Residential,Commerical,Commerical,Industrial,Industrial,Other,Other,Other,Total TIF,Total TIF,Total,Total TIF,Total TIF
,,,,,,,SCHOOL CODES & Class,,, TIF Project name & legal descriptions,Tax Year,base value,excess value,base value,excess value,base value,excess value,base value,excess value,Description,Base Value,Excess Value,Tax Rate,Excess Taxes,Base Taxes
TIF ID#,CNTYNAME,CNTY#,TIFNAME,PROJDATE,CITYNAME,SCHOOL DISTRICT,BASESCH,UNIFSCH,CLASS,REMARKS,YEAR,RESTIFBV,RESTIFEV,COMTIFBV,COMTIFEV,INDTIFBV,INDTIFEV,OTHTIFBV,OTHTIFEV,OTHDESC,TOTTIFBV,TOTTIFEV,TOTRATE,TIFEXTAX,TIFBSTAX
01-0027,ADAMS,1,TIF EV LUTH GOOD SAMARITAN SOC,7/6/1996,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: EV Lutheran Good Samaritan Society (apartments)
Tract of land in the NW 1/4, section 17, township 7, north range 9, City of Hastings
Description: Provided grant to assist with the construction of a 28-unit low-income, senior living facility.
 ",1997,0,0,0,0,0,0,0,0,,"37,050",0,2.770471,0.00,"1,026.50"
01-0027,ADAMS,1,TIF EV LUTH GOOD SAMARITAN SOC,7/6/1996,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: EV Lutheran Good Samaritan Society (apartments)
Tract of land in the NW 1/4, section 17, township 7, north range 9, City of Hastings
Description: Provided grant to assist with the construction of a 28-unit low-income, senior living facility.
 ",1998,0,0,"37,050","1,400,000",0,0,0,0,,"37,050","1,400,000",2.283899,"31,974.59",846.18
01-0027,ADAMS,1,TIF EV LUTH GOOD SAMARITAN SOC,7/6/1996,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: EV Lutheran Good Samaritan Society (apartments)
Tract of land in the NW 1/4, section 17, township 7, north range 9, City of Hastings
Description: Provided grant to assist with the construction of a 28-unit low-income, senior living facility.
 ",1999,0,0,"37,050","1,470,000",0,0,0,0,,"37,050","1,470,000",2.242644,"32,966.86",830.90
01-0027,ADAMS,1,TIF EV LUTH GOOD SAMARITAN SOC,7/6/1996,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: EV Lutheran Good Samaritan Society (apartments)
Tract of land in the NW 1/4, section 17, township 7, north range 9, City of Hastings
Description: Provided grant to assist with the construction of a 28-unit low-income, senior living facility.
 ",2000,0,0,"37,050","1,470,000",0,0,0,0,,"37,050","1,470,000",2.172859,"31,941.03",805.04
01-0027,ADAMS,1,TIF EV LUTH GOOD SAMARITAN SOC,7/6/1996,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: EV Lutheran Good Samaritan Society (apartments)
Tract of land in the NW 1/4, section 17, township 7, north range 9, City of Hastings
Description: Provided grant to assist with the construction of a 28-unit low-income, senior living facility.
 ",2001,0,0,"37,050","1,479,950",0,0,0,0,,"37,050","1,479,950",2.199674,"32,554.08",814.98
01-0027,ADAMS,1,TIF EV LUTH GOOD SAMARITAN SOC,7/6/1996,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: EV Lutheran Good Samaritan Society (apartments)
Tract of land in the NW 1/4, section 17, township 7, north range 9, City of Hastings
Description: Provided grant to assist with the construction of a 28-unit low-income, senior living facility.
 ",2002,0,0,"37,050","1,479,950",0,0,0,0,,"37,050","1,479,950",2.269407,"33,586.09",840.82
01-0027,ADAMS,1,TIF EV LUTH GOOD SAMARITAN SOC,7/6/1996,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: EV Lutheran Good Samaritan Society (apartments)
Tract of land in the NW 1/4, section 17, township 7, north range 9, City of Hastings
Description: Provided grant to assist with the construction of a 28-unit low-income, senior living facility.
 ",2003,0,0,"37,050","1,479,950",0,0,0,0,,"37,050","1,479,950",2.394463,"35,436.86",887.15
01-0027,ADAMS,1,TIF EV LUTH GOOD SAMARITAN SOC,7/6/1996,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: EV Lutheran Good Samaritan Society (apartments)
Tract of land in the NW 1/4, section 17, township 7, north range 9, City of Hastings
Description: Provided grant to assist with the construction of a 28-unit low-income, senior living facility.
 ",2004,0,0,"37,050","1,479,950",0,0,0,0,,"37,050","1,479,950",2.372993,"35,119.11",879.19
01-0027,ADAMS,1,TIF EV LUTH GOOD SAMARITAN SOC,7/6/1996,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: EV Lutheran Good Samaritan Society (apartments)
Tract of land in the NW 1/4, section 17, township 7, north range 9, City of Hastings
Description: Provided grant to assist with the construction of a 28-unit low-income, senior living facility.
 ",2005,0,0,"37,050","1,555,800",0,0,0,0,,"37,050","1,555,800",2.370005,"36,872.54",878.09
01-0027,ADAMS,1,TIF EV LUTH GOOD SAMARITAN SOC,7/6/1996,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: EV Lutheran Good Samaritan Society (apartments)
Tract of land in the NW 1/4, section 17, township 7, north range 9, City of Hastings
Description: Provided grant to assist with the construction of a 28-unit low-income, senior living facility.
 ",2006,0,0,"37,050","1,555,800",0,0,0,0,,"37,050","1,555,800",2.353769,"36,619.94",872.07
